"JST","packetnum","hostnum"
201906010000,54397,693
201906010010,49211,645
201906010020,60581,691
201906010030,60058,703
201906010040,50237,636
201906010050,52369,703
201906010100,55595,710
201906010110,59665,720
201906010120,51419,683
201906010130,55585,695
201906010140,54533,700
201906010150,54200,705
201906010200,52513,723
201906010210,55612,710
201906010220,56105,657
201906010230,61106,631
201906010240,56209,684
201906010250,55476,682
201906010300,50880,684
201906010310,54686,686
201906010320,59187,653
201906010330,61257,672
201906010340,61001,631
201906010350,59442,669
201906010400,58657,654
201906010410,64852,657
201906010420,54721,680
201906010430,62679,682
201906010440,52898,673
201906010450,58838,676
201906010500,52497,682
201906010510,56296,670
201906010520,58267,655
201906010530,48771,626
201906010540,49337,729
201906010550,51844,724
201906010600,57030,633
201906010610,52795,646
201906010620,49654,675
201906010630,46701,650
201906010640,51286,648
201906010650,45857,619
201906010700,47208,643
201906010710,48400,666
201906010720,51358,668
201906010730,50263,681
201906010740,47769,680
201906010750,49483,652
201906010800,47166,642
201906010810,53418,673
201906010820,54284,644
201906010830,58982,704
201906010840,51640,653
201906010850,49311,675
201906010900,57174,644
201906010910,52833,646
201906010920,47879,680
201906010930,57674,690
201906010940,50938,680
201906010950,52930,619
201906011000,51333,643
201906011010,47752,713
201906011020,48449,675
201906011030,52424,683
201906011040,59777,668
201906011050,55623,732
201906011100,50557,718
201906011110,57707,674
201906011120,53638,672
201906011130,49790,699
201906011140,55710,664
201906011150,51661,689
201906011200,51661,658
201906011210,54459,675
201906011220,56872,715
201906011230,55733,684
201906011240,53230,687
201906011250,66891,671
201906011300,57033,722
201906011310,54928,705
201906011320,53508,710
201906011330,55127,721
201906011340,57797,712
201906011350,50972,679
201906011400,48996,690
201906011410,48366,689
201906011420,53469,703
201906011430,57213,692
201906011440,52391,703
201906011450,50494,723
201906011500,53449,744
201906011510,61679,671
201906011520,61039,729
201906011530,53743,741
201906011540,55733,752
201906011550,53131,713
201906011600,48718,705
201906011610,55612,759
201906011620,58878,704
201906011630,54058,692
201906011640,52866,727
201906011650,58894,730
201906011700,53716,752
201906011710,53285,696
201906011720,59927,727
201906011730,56336,714
201906011740,63357,739
201906011750,53809,732
201906011800,55620,708
201906011810,64045,724
201906011820,61936,688
201906011830,56652,676
201906011840,60199,701
201906011850,58454,710
201906011900,53502,774
201906011910,49610,738
201906011920,51444,744
201906011930,53735,732
201906011940,51993,740
201906011950,53797,744
201906012000,53577,699
201906012010,52318,717
201906012020,56172,737
201906012030,59997,733
201906012040,55403,737
201906012050,57627,725
201906012100,51626,722
201906012110,52276,684
201906012120,63985,666
201906012130,53262,678
201906012140,50212,689
201906012150,56266,684
201906012200,53363,697
201906012210,51493,720
201906012220,53604,787
201906012230,50524,710
201906012240,47621,734
201906012250,52684,706
201906012300,53774,705
201906012310,52080,764
201906012320,65818,724
201906012330,53202,698
201906012340,53033,697
201906012350,47713,672
201906020000,59167,769
201906020010,53784,728
201906020020,56763,691
201906020030,57892,702
201906020040,53274,731
201906020050,55642,671
201906020100,49044,693
201906020110,51145,671
201906020120,56369,685
201906020130,50995,685
201906020140,51904,723
201906020150,51617,671
201906020200,58171,675
201906020210,55626,691
201906020220,62101,675
201906020230,55705,691
201906020240,58183,695
201906020250,56216,721
201906020300,50239,704
201906020310,53637,691
201906020320,51820,719
201906020330,54939,716
201906020340,55166,693
201906020350,58303,724
201906020400,57098,704
201906020410,48186,698
201906020420,57952,730
201906020430,49470,671
201906020440,52148,710
201906020450,45346,667
201906020500,48514,657
201906020510,44644,651
201906020520,50369,706
201906020530,52171,705
201906020540,48020,718
201906020550,51548,719
201906020600,48895,675
201906020610,45891,685
201906020620,49894,687
201906020630,48275,643
201906020640,60780,668
201906020650,62229,676
201906020700,54010,693
201906020710,51023,691
201906020720,45078,658
201906020730,48157,676
201906020740,47877,664
201906020750,48958,672
201906020800,55515,646
201906020810,51727,687
201906020820,53076,643
201906020830,52594,711
201906020840,66505,679
201906020850,62402,707
201906020900,59986,641
201906020910,73067,639
201906020920,67955,678
201906020930,66162,689
201906020940,66056,670
201906020950,65462,681
201906021000,60972,632
201906021010,65317,662
201906021020,62909,715
201906021030,63762,686
201906021040,60066,721
201906021050,68338,665
201906021100,62642,753
201906021110,59239,687
201906021120,64910,750
201906021130,63269,691
201906021140,67518,692
201906021150,73374,705
201906021200,62292,703
201906021210,67355,712
201906021220,61925,701
201906021230,66306,672
201906021240,62175,707
201906021250,59793,679
201906021300,58794,698
201906021310,56253,665
201906021320,62595,715
201906021330,65615,743
201906021340,60629,721
201906021350,61596,736
201906021400,63523,691
201906021410,60906,764
201906021420,67299,758
201906021430,67596,721
201906021440,58261,727
201906021450,67606,735
201906021500,56691,723
201906021510,63021,750
201906021520,68271,757
201906021530,60969,755
201906021540,66423,754
201906021550,51650,731
201906021600,50444,754
201906021610,49481,702
201906021620,47223,757
201906021630,49943,745
201906021640,52004,823
201906021650,56384,807
201906021700,52571,729
201906021710,56404,726
201906021720,47856,746
201906021730,47610,743
201906021740,48227,758
201906021750,60140,748
201906021800,48750,753
201906021810,55577,723
201906021820,46215,736
201906021830,48164,731
201906021840,52730,683
201906021850,57410,696
201906021900,54276,665
201906021910,49685,714
201906021920,48745,749
201906021930,52301,694
201906021940,48454,745
201906021950,51947,707
201906022000,54489,758
201906022010,49399,729
201906022020,47579,690
201906022030,50486,699
201906022040,58988,689
201906022050,71601,729
201906022100,81653,693
201906022110,79323,641
201906022120,69876,702
201906022130,71736,712
201906022140,72414,677
201906022150,75610,654
201906022200,78902,678
201906022210,69265,716
201906022220,73557,729
201906022230,72373,675
201906022240,79794,681
201906022250,71692,755
201906022300,80828,705
201906022310,79122,698
201906022320,70774,717
201906022330,78313,703
201906022340,71307,719
201906022350,69727,710
201906030000,75036,694
201906030010,72318,717
201906030020,73554,713
201906030030,68644,702
201906030040,70766,704
201906030050,70614,704
201906030100,117258,707
201906030110,424221,717
201906030120,434358,685
201906030130,167396,693
201906030140,84366,693
201906030150,68859,673
201906030200,75645,697
201906030210,67439,670
